zip,median_income,housing_units,owner_pct,population,city,lat,lon,solrad_annual,solrad_source,install_count,median_system_kw,median_cost_per_watt,pct_third_party,latest_install_year,adoption_rate,electricity_rate,nem_type,nem_export_pct
90001,57698,14157,0.3345341527159709,57652,Los Angeles,33.9731,-118.2479,6.21872075218285,ridge_interpolated,48,3.4425,5.1,0.5208333333333334,2019.0,3.3905,0.3029,NEM3,0.2
90002,54221,13639,0.3896180071852775,53108,Los Angeles,33.9497,-118.2462,6.216595413109201,ridge_interpolated,131,3.5,5.1,0.6564885496183206,2019.0,9.6048,0.3029,NEM3,0.2
90003,51275,18703,0.25904935037159815,75024,Los Angeles,33.9653,-118.2727,6.213422267347439,ridge_interpolated,154,3.37,5.1,0.6428571428571429,2019.0,8.234,0.3029,NEM3,0.2
90004,58420,25617,0.14810477417340048,58833,Los Angeles,34.0762,-118.3029,6.219285173700622,ridge_interpolated,118,5.525,4.858155080213903,0.4322033898305085,2019.0,4.6063,0.3029,NEM3,0.2
90005,49226,18650,0.06975871313672923,37754,Los Angeles,34.0585,-118.3012,6.217814607870777,ridge_interpolated,31,7.0,4.6817254901960785,0.41935483870967744,2019.0,1.6622,0.3029,NEM3,0.2
90006,47599,21251,0.0956660863018211,56628,Los Angeles,34.0493,-118.2917,6.218600603275925,ridge_interpolated,31,4.5,5.1,0.6451612903225806,2018.0,1.4588,0.3029,NEM3,0.2
90007,36326,13936,0.09536452353616533,41004,Los Angeles,34.0294,-118.2871,6.217413810241957,ridge_interpolated,27,5.04,5.049435028248587,0.7037037037037037,2018.0,1.9374,0.3029,NEM3,0.2
90008,57880,16112,0.2874875868917577,33076,Los Angeles,34.0116,-118.3411,6.205825838633145,ridge_interpolated,175,4.875,5.049949031600407,0.4742857142857143,2019.0,10.8615,0.3029,NEM3,0.2
90010,92454,2913,0.13525575008582216,4185,Los Angeles,34.0606,-118.3027,6.217755482578721,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
90011,51819,25420,0.2564516129032258,106042,Los Angeles,34.0079,-118.2582,6.220440175747497,ridge_interpolated,108,3.5375,5.1,0.6574074074074074,2019.0,4.2486,0.3029,NEM3,0.2
90012,58444,16350,0.05853211009174312,38430,Los Angeles,34.0614,-118.2385,6.229403396537623,ridge_interpolated,6,4.18,5.1125,0.5,2019.0,0.367,0.3029,NEM3,0.2
90013,24853,9588,0.06518564872757614,14587,Los Angeles,34.0448,-118.2434,6.2268550582076125,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
90014,26550,7176,0.029542920847268672,9273,Los Angeles,34.0443,-118.2509,6.225453286786592,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
90015,61959,14456,0.07657719977863862,25554,Los Angeles,34.0434,-118.2716,6.221630549166583,ridge_interpolated,10,3.175,5.172367213114754,0.0,2017.0,0.6918,0.3029,NEM3,0.2
90016,63090,19194,0.3335938314056476,47309,Los Angeles,34.0298,-118.3528,6.205575392540582,ridge_interpolated,192,3.924,5.1,0.546875,2019.0,10.0031,0.3029,NEM3,0.2
90017,46626,15341,0.04784564239619321,28754,Los Angeles,34.0559,-118.2666,6.223791572679196,ridge_interpolated,3,5.232,5.12,0.6666666666666666,2016.0,0.1956,0.3029,NEM3,0.2
90018,58987,17717,0.303042275780324,49898,Los Angeles,34.029,-118.3152,6.074564246620267,nrel_actual,196,4.095,4.821465,0.5357142857142857,2019.0,11.0628,0.3029,NEM3,0.2
90019,65972,26022,0.22653908231496425,59410,Los Angeles,34.0482,-118.3343,6.21079657757723,ridge_interpolated,218,4.5,4.975,0.44036697247706424,2019.0,8.3775,0.3029,NEM3,0.2
90020,55321,18981,0.08587534903324377,38400,Los Angeles,34.0665,-118.3022,6.218438931279905,ridge_interpolated,26,6.24,5.1,0.3076923076923077,2019.0,1.3698,0.3029,NEM3,0.2
90021,29659,1623,0.061614294516327786,2781,Los Angeles,34.0333,-118.2447,6.2254599895538325,ridge_interpolated,1,11.88,4.509393939393939,0.0,2017.0,0.6161,0.3029,NEM3,0.2
90022,65142,18000,0.3305,64147,Los Angeles,34.0245,-118.1561,6.240522577996809,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
90023,52918,12314,0.25133993828163065,44558,Los Angeles,34.0245,-118.1975,6.233074046310523,ridge_interpolated,48,4.0175,5.1,0.5416666666666666,2019.0,3.898,0.3029,NEM3,0.2
90024,74852,20313,0.2757839807020135,50392,Los Angeles,34.0637,-118.4408,6.1930958912422005,ridge_interpolated,72,6.0,4.818705071686724,0.2916666666666667,2019.0,3.5445,0.3029,NEM3,0.2
90025,103511,24131,0.22734242260992085,44429,Los Angeles,34.0447,-118.4487,6.189719320657942,ridge_interpolated,57,4.5,4.975,0.3333333333333333,2019.0,2.3621,0.3029,NEM3,0.2
90026,80549,28179,0.22090918769296283,64769,Los Angeles,34.0766,-118.2646,6.226223680374349,ridge_interpolated,229,3.78,4.975,0.5109170305676856,2019.0,8.1266,0.3029,NEM3,0.2
90027,86826,23773,0.1876919194043663,45764,Los Angeles,34.104,-118.2925,6.223923501257308,ridge_interpolated,207,5.355,5.1,0.3961352657004831,2019.0,8.7074,0.3029,NEM3,0.2
90028,57258,22079,0.03125141537207301,30982,Los Angeles,34.1005,-118.3254,6.2176534408220965,ridge_interpolated,18,4.4399999999999995,5.426346153846154,0.2777777777777778,2018.0,0.8153,0.3029,NEM3,0.2
